"","sesID","sesType","sesPart1Len","sesPart2Len","unlockingTime"
"7513",18080,"USES",30891,31963,1.072
"7514",18082,"USES",22256,36044,13.788
"7515",18084,"USES",3998,5575,1.577
"7516",18086,"USES",78703,80021,1.318
"7517",18089,"USES",59879,61659,1.78
"7518",18091,"USES",169028,178402,9.374
"7519",18094,"USES",131534,133254,1.72
"7520",18098,"USES",59079,60430,1.351
"7521",18100,"USES",29255,31108,1.853
"7522",18102,"USES",16176,18069,1.893
"7523",18104,"USES",57726,58741,1.015
"7524",18106,"USES",13473,14671,1.198
"7525",18108,"USES",13368,15197,1.829
"7526",18115,"USES",356730,357879,1.149
"7527",18118,"USES",240872,241886,1.014
"7528",18120,"USES",811657,812965,1.308
"7529",18122,"USES",169770,170957,1.187
"7530",18124,"USES",291504,292593,1.089
"7531",18126,"USES",202588,211568,8.98
"7532",18130,"USES",82003,90142,8.139
"7533",18132,"USES",22293,31133,8.84
"7534",18140,"USES",183468,199512,16.044
"7535",18142,"USES",151487,152459,0.972
"7536",18146,"USES",138327,142698,4.371
"7537",18149,"USES",171068,172633,1.565
"7538",18151,"USES",9012,10224,1.212
"7539",18153,"USES",160014,162945,2.931
"7540",18155,"USES",3256,5166,1.91
"7541",18160,"USES",7902,9078,1.176
"7542",18164,"USES",8369,10206,1.837
"7543",18167,"USES",12885,14478,1.593
"7544",18170,"USES",2052,3358,1.306
"7545",18172,"USES",16247,18396,2.149
"7546",18174,"USES",19589,24926,5.337
"7547",18176,"USES",37941,39401,1.46
"7548",18179,"USES",403227,406240,3.013
"7549",18182,"USES",122333,124746,2.413
"7550",18184,"USES",65686,67468,1.782
"7551",18186,"USES",14618,15682,1.064
"7552",18189,"USES",144045,145212,1.167
"7553",18192,"USES",504333,505737,1.404
"7554",18200,"USES",17587,19429,1.842
"7555",18202,"USES",75012,76084,1.072
"7556",18204,"USES",4751,5670,0.919
"7557",18209,"USES",6942,8010,1.068
"7558",18211,"USES",118672,119848,1.176
"7559",18213,"USES",25149,26589,1.44
"7560",18216,"USES",6786,8000,1.214
"7561",18218,"USES",16003,16927,0.924
"7562",18220,"USES",50426,52060,1.634
"7563",18223,"USES",13511,15206,1.695
"7564",18231,"USES",289742,291274,1.532
"7565",18233,"USES",34254,35207,0.953
"7566",18235,"USES",1128883,1130436,1.553
"7567",18239,"USES",9097,10109,1.012
"7568",18243,"USES",1077637,1080678,3.041
"7569",18245,"USES",1112780,1127355,14.575
"7570",18247,"USES",1484925,1486918,1.993
"7571",18249,"USES",501349,502556,1.207
"7572",18251,"USES",34354,35220,0.866
"7573",18253,"USES",362018,363403,1.385
"7574",18255,"USES",457592,458553,0.961
"7575",18257,"USES",174787,176346,1.559
"7576",18259,"USES",138282,139695,1.413
"7577",18261,"USES",3520,4724,1.204
"7578",18264,"USES",12616,15068,2.452
